"Screen index,""Type of item"",""Question"",""Answer options"",""Answer"""
"0,""QuestionnaireItemText"",""<b>Bitte geben Sie hier Ihre PIN ein:"",""undefined"",""VWB51"""
"0,""QuestionnaireItemText"",""<b>Wie alt sind Sie?"",""undefined"",""22"""
"0,""QuestionnaireItemDefinedOne"",""<b>Wie würden Sie Ihre Deutschkenntnisse einschätzen?"",""Muttersprache,C1/2 (Verhandlungssicher),B1/2 (Gesprächssicher),keine der genannten"",""Muttersprache"""
"0,""QuestionnaireItemText"",""Wenn Deutsch nicht Ihre Muttersprache ist: Was ist Ihre Muttersprache?"",""undefined"",null"
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche telefonieren Sie übers Festnetz?"",""undefined"",""0"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche telefonieren Sie mit dem Handy?"",""undefined"",""5"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche telefonieren über das Internet (z.B. über Discord, Messenger-Apps wie Whatsapp)?"",""undefined"",""15"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche nutzen Sie Videoanrufe?"",""undefined"",""5"""
"0,""QuestionnaireItemSVGQuality7pt"",""<b>Wie sind Ihre bisherigen Erfahrungen mit o.g. Telekommunikationsmitteln?"",""10-70"",""68"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche nutzen Sie Social Media?"",""undefined"",""8"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche nutzen Sie Online-Zeitungen?"",""undefined"",""1"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche nutzen Sie den Fernseher?"",""undefined"",""0"""
"0,""QuestionnaireItemText"",""<b> Wie viele Stunden pro Woche nutzen Sie das Radio?"",""undefined"",""1"""
"0,""QuestionnaireItemDefinedOne"",""<b>Haben Sie schon einmal an einem Hörtest/-experiment teilgenommen?"",""Ja,Nein"",""Ja"""
"0,""QuestionnaireItemText"",""Wenn Ja: Wann? (Jahr)"",""undefined"",""2021"""
"0,""QuestionnaireItemDefinedOne"",""<b>Haben Sie regelmäßig (z.B. über Ihre Arbeit) mit Audiotechnikverfahren/-forschung zu tun?"",""Ja,Nein"",""Nein"""
"0,""QuestionnaireItemDefinedOne"",""Wenn Nein: Hatten Sie früher einmal damit zu tun?"",""Ja,Nein"",""Nein"""
"0,""QuestionnaireItemText"",""Wenn Ja: Wann? (Jahr)"",""undefined"",null"
"0,""QuestionnaireItemDefinedOne"",""<b>Haben Sie Konzentrations- oder Hörschwächen?"",""Ja,Nein"",""Nein"""
"0,""QuestionnaireItemDefinedOne"",""Wenn Ja: Benutzen Sie Hilfsmittel (z.B. Hörgerät, Medikamente)?"",""Ja,Nein"",null"
"0,""QuestionnaireItemText"",""Wenn Ja: Welche? (Wenn Sie spezielle Medikamente einnehmen ist es ausreichend mit 'Medikamente' zu antworten)"",""undefined"",null"
"2,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"2,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""60"""
"2,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""20"""
"2,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""16"""
"2,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""20"""
"2,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""23"""
"3,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"3,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""60"""
"3,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""20"""
"3,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""20"""
"3,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""20"""
"3,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""32"""
"4,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"4,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""58"""
"4,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""20"""
"4,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""20"""
"4,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""36"""
"4,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""20"""
"5,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"5,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""45"""
"5,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""24"""
"5,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""20"""
"5,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""25"""
"5,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""37"""
"6,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"6,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""50"""
"6,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""24"""
"6,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""20"""
"6,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""27"""
"6,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""30"""
"7,""QuestionnaireItemMediaAudioRepeatable"",""<p> Wie bereits erwähnt wird die Audiodatei beim betreten der Seite direkt abgespielt. Mithilfe des 'Replay'-Knopfes können Sie die Audiodatei erneut abspielen. </p>"",""undefined"",null"
"7,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> <p> Beschreibt wie angenehm und ansprechend der Klang insgesamt wahrgenommen wurde. Betrachten Sie Faktoren wie Klarheit, Präzision und klangliche Fülle. Dies sollte unabhängig von einzelnen Faktoren geschehen. </p>"",""10-70"",""30"""
"7,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> <p> Beschreibt die Charakteristik oder den spezifischen Klang einer Probe. Betrachten Sie harmonische Eigenschaften, die Tonhöhenverteilung und andere Merkmale. Ist der Klang eher warm, kühl, lebhaft oder gedämpft? Ein guter Wert zeigt an, dass die Audio-Dateien authentisch und unverfälscht sind.</p>"",""10-70"",""20"""
"7,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> <p> Beschreibt inwiefern Unterbrechungen, Sprünge oder Unregelmäßigkeiten in gegebenen Proben auftreten. Geringe Diskontinuität weist auf reibungslose Audio-Wiedergabe hin, während ein hoher Diskontinuitäts-Wert auf störende Brüche oder Sprünge im Klangverlauf verweisen würde. </p>"",""10-70"",""55"""
"7,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> <p> Beschreibt die subjektive Wahrnehmung der Stärke oder Intensität des Klangs in einer Probe. Eine angemessene Lautstärke ermöglicht eine klare Hörbarkeit. Ist die Lautstärke zu niedrig werden möglicherweise Details verschleiert. Bei einer zu hohen Lautstärke kann zu Verzerrungen kommen. </p>"",""10-70"",""20"""
"7,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> <p> Beschreibt die Präsenz und Intensität von unerwünschten Hintergrundgeräuschen oder Störungen in einer Probe. Eine geringe Rauschintensität wird positiv bewertet, da sie zu einem klaren und sauberen Klang beiträgt. Im Gegensatz dazu kann starkes Rauschen die Wahrnehmung von Details beeinträchtigen und das Hörerlebnis stören. </p>"",""10-70"",""24"""
"9,""QuestionnaireItemMediaAudioRepeatable"",""<div class='invisible'> FileName: M1_C30.wav Type: Normal</div>"",""undefined"",null"
"9,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> Bitte bewerten Sie die Gesamtqualität der Audiodatei."",""10-70"",""54"""
"9,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> Bitte bewerten Sie die Klangfarbe der Audiodatei."",""10-70"",""20"""
"9,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> Bitte bewerten Sie die Diskontinuität der Audiodatei."",""10-70"",""20"""
"9,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> Bitte bewerten Sie die Lautstärke der Audiodatei."",""10-70"",""30"""
"9,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> Bitte bewerten Sie das Rauschen der Audiodatei."",""10-70"",""22"""
"10,""QuestionnaireItemMediaAudioRepeatable"",""<div class='invisible'> FileName: M1_C19.wav Type: Normal</div>"",""undefined"",null"
"10,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> Bitte bewerten Sie die Gesamtqualität der Audiodatei."",""10-70"",""50"""
"10,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> Bitte bewerten Sie die Klangfarbe der Audiodatei."",""10-70"",""20"""
"10,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> Bitte bewerten Sie die Diskontinuität der Audiodatei."",""10-70"",""20"""
"10,""QuestionnaireItemSVGQuality7pt"",""<h2>Lautstärke</h2> Bitte bewerten Sie die Lautstärke der Audiodatei."",""10-70"",""35"""
"10,""QuestionnaireItemSVGQuality7pt"",""<h2>Rauschen</h2> Bitte bewerten Sie das Rauschen der Audiodatei."",""10-70"",""22"""
"11,""QuestionnaireItemMediaAudioRepeatable"",""<div class='invisible'> FileName: F1_C25.wav Type: Normal</div>"",""undefined"",null"
"11,""QuestionnaireItemSVGQuality7pt"",""<h2>Gesamtqualität</h2> Bitte bewerten Sie die Gesamtqualität der Audiodatei."",""10-70"",""45"""
"11,""QuestionnaireItemSVGQuality7pt"",""<h2>Klangfarbe</h2> Bitte bewerten Sie die Klangfarbe der Audiodatei."",""10-70"",""20"""
"11,""QuestionnaireItemSVGQuality7pt"",""<h2>Diskontinuität</h2> Bitte bewerten Sie die Diskontinuität der Audiodatei."",""10-70"",""30"""
